CoC Number,CoC Name,CoC Category,"Overall Homeless, 2020","Overall Homeless - Under 18, 2020","Overall Homeless - Age 18 to 24, 2020","Overall Homeless - Over 24, 2020","Overall Homeless - Female, 2020","Overall Homeless - Male, 2020","Overall Homeless - Transgender, 2020","Overall Homeless - Gender Non-Conforming, 2020","Overall Homeless - Non-Hispanic/Non-Latino, 2020","Overall Homeless - Hispanic/Latino, 2020","Overall Homeless - White, 2020","Overall Homeless - Black or African American, 2020","Overall Homeless - Asian, 2020","Overall Homeless - American Indian or Alaska Native, 2020","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2020","Overall Homeless - Multiple Races, 2020","Sheltered Total Homeless, 2020","Unsheltered Homeless, 2020","Overall Homeless Individuals, 2020","Overall Homeless People in Families, 2020","Overall Chronically Homeless, 2020","Sheltered Total Chronically Homeless, 2020","Unsheltered Chronically Homeless, 2020","Overall Homeless Veterans, 2020"
AK-500,Anchorage CoC,Other Largely Urban CoC,"1,058",150,129,779,419,636,2,1,996,62,297,108,9,477,37,130,"1,003",55,816,242,141,126,15,42
AK-501,Alaska Balance of State CoC,Largely Rural CoC,891,176,68,647,409,478,1,3,827,64,337,29,13,413,3,96,722,169,629,262,216,142,74,52
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,848,92,54,702,296,551,1,0,826,22,309,508,2,8,2,19,601,247,709,139,150,95,55,120
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,631,107,24,500,244,385,2,0,623,8,225,384,0,6,1,15,267,364,470,161,71,6,65,66
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,215,61,11,143,91,67,1,0,154,50,150,50,0,3,1,0,174,41,96,119,18,11,7,13
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,561,99,25,437,227,331,3,0,540,21,286,240,0,5,4,26,406,155,418,143,139,76,63,45
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,351,43,11,297,115,236,0,0,347,4,95,245,0,3,3,5,275,76,285,66,74,58,16,61
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,280,23,19,238,106,172,0,2,272,8,181,88,0,9,0,2,82,198,243,37,41,20,21,13
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,67,6,7,54,16,47,2,2,61,6,24,39,0,0,0,4,41,26,57,10,0,0,0,6
AL-507,Alabama Balance of State CoC,Largely Rural CoC,398,97,47,254,199,199,0,0,391,7,192,201,0,3,0,2,206,192,219,179,10,5,5,5
